,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Action,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Profit
0,tt0249516,Foodfight!,Foodfight!,2012,91.0,"['Action', 'Animation', 'Comedy']",26,"Dec 31, 2012",Foodfight!,45000000.0,0.0,73706.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-44926294.0
1,tt0293429,Mortal Kombat,Mortal Kombat,2021,,"['Action', 'Adventure', 'Fantasy']",10,"Aug 18, 1995",Mortal Kombat,20000000.0,70433227.0,122133227.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,102133227.0
2,tt0326592,The Overnight,The Overnight,2010,88.0,,21,"Jun 19, 2015",The Overnight,200000.0,1109808.0,1165996.0,,,,,,,,,,,,,,,,,,,,,965996.0
3,tt3844362,The Overnight,The Overnight,2015,79.0,"['Comedy', 'Mystery']",21,"Jun 19, 2015",The Overnight,200000.0,1109808.0,1165996.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,965996.0
4,tt0337692,On the Road,On the Road,2012,124.0,"['Adventure', 'Drama', 'Romance']",17,"Mar 22, 2013",On the Road,25000000.0,720828.0,9313302.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,-15686698.0
5,tt2404548,On the Road,On the Road,2011,90.0,['Drama'],17,"Mar 22, 2013",On the Road,25000000.0,720828.0,9313302.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-15686698.0
6,tt3872966,On the Road,On the Road,2013,87.0,['Documentary'],17,"Mar 22, 2013",On the Road,25000000.0,720828.0,9313302.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-15686698.0
7,tt4339118,On the Road,On the Road,2014,89.0,['Drama'],17,"Mar 22, 2013",On the Road,25000000.0,720828.0,9313302.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-15686698.0
8,tt5389486,On the Road,On the Road,2015,39.0,['Documentary'],17,"Mar 22, 2013",On the Road,25000000.0,720828.0,9313302.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-15686698.0
9,tt5647250,On the Road,On the Road,2016,121.0,['Drama'],17,"Mar 22, 2013",On the Road,25000000.0,720828.0,9313302.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-15686698.0
10,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"['Adventure', 'Comedy', 'Drama']",37,"Dec 25, 2013",The Secret Life of Walter Mitty,91000000.0,58236838.0,187861183.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,96861183.0
11,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"['Action', 'Crime', 'Drama']",67,"Sep 19, 2014",A Walk Among the Tombstones,28000000.0,26017685.0,62108587.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,34108587.0
12,tt0369610,Jurassic World,Jurassic World,2015,124.0,"['Action', 'Adventure', 'Sci-Fi']",34,"Jun 12, 2015",Jurassic World,215000000.0,652270625.0,1648854864.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1433854864.0
13,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"['Comedy', 'Drama']",16,"Oct 28, 2011",The Rum Diary,45000000.0,13109815.0,21544732.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-23455268.0
14,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"['Comedy', 'Family']",4,"Apr 13, 2012",The Three Stooges,30000000.0,44338224.0,54052249.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24052249.0
15,tt5108902,The Three Stooges,The Three Stooges,2015,,['Documentary'],4,"Apr 13, 2012",The Three Stooges,30000000.0,44338224.0,54052249.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,24052249.0
16,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"['Comedy', 'Drama', 'Romance']",65,"Dec 31, 2010",Anderson's Cross,300000.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,-300000.0
17,tt0398286,Tangled,Tangled,2010,100.0,"['Adventure', 'Animation', 'Comedy']",15,"Nov 24, 2010",Tangled,260000000.0,200821936.0,586477240.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,326477240.0
18,tt0401729,John Carter,John Carter,2012,132.0,"['Action', 'Adventure', 'Sci-Fi']",14,"Mar 9, 2012",John Carter,275000000.0,73058679.0,282778100.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7778100.0
19,tt0403935,Action Jackson,Action Jackson,2014,144.0,"['Action', 'Thriller']",8,"Feb 12, 1988",Action Jackson,7000000.0,20257000.0,20257000.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13257000.0
