,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Action
0,tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",42,"Jan 10, 2014",The Legend of Hercules,"$70,000,000","$18,848,538",58953319.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,tt1094666,7.0,1613,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",50,"Mar 21, 2008",The Hammer,"$850,000","$442,638",442638.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2,tt1171222,5.1,8296,Baggage Claim,Baggage Claim,2013,96.0,Comedy,38,"Sep 27, 2013",Baggage Claim,"$8,500,000","$21,569,509",22885836.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",15,"Sep 23, 2011",Moneyball,"$50,000,000","$75,605,492",111300835.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
4,tt1212419,6.5,87288,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",61,"Oct 15, 2010",Hereafter,"$50,000,000","$32,746,941",108660270.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
5,tt1232829,7.2,477771,21 Jump Street,21 Jump Street,2012,109.0,"Action,Comedy,Crime",44,"Mar 16, 2012",21 Jump Street,"$42,000,000","$138,447,667",202812429.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,tt1243974,5.4,54646,Aloha,Aloha,2015,105.0,"Comedy,Drama,Romance",3,"May 29, 2015",Aloha,"$37,000,000","$21,052,030",25387091.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
7,tt1261945,4.4,69199,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",16,"May 27, 2010",Sex and the City 2,"$95,000,000","$95,347,692",294680778.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8,tt1270761,5.6,44490,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010,99.0,"Fantasy,Horror,Thriller",43,"Aug 26, 2011",Don't Be Afraid of the Dark,"$25,000,000","$24,046,682",39126427.0,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
9,tt1272886,6.1,6688,Small Apartments,Small Apartments,2012,96.0,"Comedy,Crime,Drama",90,"Feb 8, 2013",Small Apartments,"$2,000,000",$0,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10,tt1322312,6.3,54421,Going the Distance,Going the Distance,2010,102.0,"Comedy,Romance",11,"Sep 3, 2010",Going the Distance,"$32,000,000","$17,804,299",43603990.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11,tt1376213,5.4,5257,The Adventurer: The Curse of the Midas Box,The Adventurer: The Curse of the Midas Box,2013,100.0,"Adventure,Family,Fantasy",29,"Jan 10, 2014",The Adventurer: The Curse of the Midas Box,"$25,000,000",$0,0.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12,tt1403981,7.1,129443,Remember Me,Remember Me,2010,113.0,"Drama,Romance",51,"Mar 12, 2010",Remember Me,"$16,000,000","$19,068,240",56506120.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
13,tt1460743,6.9,6990,Reign of Assassins,Jian yu,2010,117.0,"Action,Adventure",28,"Nov 1, 2016",Reign of Assassins,"$14,000,000",$0,11354230.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,tt1499658,6.9,398695,Horrible Bosses,Horrible Bosses,2011,98.0,"Comedy,Crime",34,"Jul 8, 2011",Horrible Bosses,"$35,000,000","$117,538,559",212417601.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
